,Volatility
0,675472.7697141893
1,201799.27296596742
2,1076794.7621966817
3,378600.3733294866
4,552514.0240764199
5,293457.2765660846
6,6231.198492532476
7,58663.863282907645
8,243238.69164640526
9,33722.3423894137
